
New le type         Old le type
------------------- -------------------------------- 
n_-_pr-hers_le      n_poss_pro_hers_le         
n_-_pr-his_le       n_poss_pro_his_le          
n_-_pr-its_le       n_poss_pro_its_le          
n_-_pr-mine_le      n_poss_pro_mine_le         
n_-_pr-ours_le      n_poss_pro_ours_le         
n_-_pr-theirs_le    n_poss_pro_theirs_le       
n_-_pr-yours_le     n_poss_pro_yours_le        
n_-_pr-it-x_le      n_expl_it_le               
n_-_pr-there-x_le   n_expl_there_le            
n_-_pr-wh_le        n_wh_pro_le                
n_-_pr-wh-acc_le    n_wh_pro_acc_le            
n_-_pr-rel-who_le   n_rel_pro_who_le           
n_-_pr-rel-what_le  n_rel_pro_what_le          
n_-_pr-rel-acc_le   n_rel_pro_acc_le           
n_-_pr-rel-nwh_le   n_rel_pro_nonwh_le         
n_-_pr-rel-ad_le    n_rel_pro_npadv_le         
n_-_pr-rel-pl_le    n_rel_np_pl_le             
n_-_pr-rel-tm_le    n_rel_np_tm_le             
n_-_pr-ad_le        n_generic_pro_adv_le       
n_-_pr_le           n_generic_pro_le           
n_-_pr-one_le       n_generic_pro_one_le       
n_-_pr-dei-sg_le    n_deictic_pro_sg_le        
n_-_pr-dei-pl_le    n_deictic_pro_pl_le        
n_pp_pr-dei-3pl_le  n_deictic_ppof_le          
n_-_tt_le           n_title_le                 
n_-_tt-abb_le       n_title_unsp_le            
n_-_tt-post_le      n_post_title_le            
n_-_tt-num_le       n_title_num_le             
n_np_x-to-y-sg_le   n_x_to_y_sg_le             
n_np_x-to-y-pl_le   n_x_to_y_plur_le           
n_nb_x-to-y_le      n_x_to_y_nbar_le           
n_-_pr-fr_le        n_freerel_pro_le           
n_-_pr-fr-ever_le   n_freerel_ever_pro_le      
n_-_pr-fr-wh_le     n_freerel_pro_adv_le       
n_-_pr-fr-whever_le n_freerel_ever_pro_adv_le  
n_-_pr-fr-part_le   n_freerel_part_le          
n_-_cl-poss_le      n_poss_clitic_le           
n_-_cl-poss-pl_le   n_poss_clitic_pl_le        
n_-_cl-poss-pr_le   n_poss_clitic_proper_le    
